
Roca Centella; Vallès Oriental; massís del Montseny, Serralada Prelitoral; 1.000,5 m 
Punta del Curull; Garrigues; Serra de la Llena; 1.021,9 m 
Turó de Sant Elies; Vallès Oriental; massís del Montseny, Serralada Prelitoral; 1.003 m 
Puigsou; Gironès; Muntanya de Rocacorba; 991,3 m 
Picorandan; Baix Camp; Serralada Prelitoral; 991,2 m 
Montagut d'Ancosa; Alt Camp; (; 963,1 m 
Castell de l'Airosa; Baix Ebre; Ports de Tortosa-Beseit; 953,8 m 
La Creu de Santos; Baix Ebre, Ribera d'Ebre; Serra de Cardó; 941,9 m 
Mola de Colldejou; Baix Camp; Serra de Llaberia, Serralada Litoral; 921,8 m 
La Miranda; Ribera d'Ebre, Baix Camp; Serra de Llaberia, Serralada Litoral; 918,3 m 
La Tossa; Pallars Jussà; Pirineus; 887 m 
Puig Sesarques; Gironès, Pla de l'Estany;  ; 880,3 m 
Tossal Gros (Figuerola del Camp); Alt Camp, Conca de Barberà; (; 866,6 m 
Puig de la Talaia; Baix Penedès; Serra del Montmell, Serralada Prelitoral; 861,3 m 
Puig Cornador; Osona;  ; 859,7 m 
Turó del Galutxo; Segarra;  ; 851,5 m 
Turó de la Creu de Gurb; Osona;  ; 841,6 m 
Còpia de Palomes; Anoia; Serra de Rubió; 837,5 m 
Les Tres Alzines; Anoia; Serra de Rubió; 831,2 m 
Puig-l'agulla; Osona;  ; 810,3 m 
Roc de la Guàrdia; Osona; (; 809 m 
Tossal Gros de Vallbona; Urgell; Serra del Tallat; 802,9 m 
El Castellot (Font-rubí) ; Alt Penedès; Foix, Serralada prelitoral; 793 m 
La Cogulla; Alt Camp, Conca de Barberà; (; 785,6 m 
L'Avellanet; Anoia; Serra de Rubió; 782,0 m 
Cap de Cans; Conca de Barberà; (; 772,9 m 
Tossa de Viamar; Baix Ebre; Serra de Cardó, Serralada Prelitoral; 766,9 m 
Turó Gros; Vallès Oriental; Massís del Montnegre, Serralada Litoral; 766,1 m 
Turó d'en Vives; Maresme, Vallès Oriental; Massís del Montnegre, Serralada Litoral; 765,8 m 
Buinaca; Baix Ebre; Serra del Boix, Serralada Prelitoral764,6 m
La Torreta del Montsià; Montsià; Serra del Montsià, Serralada Litoral764 m
Morrocurt; Anoia; Serra de Rubió; 751,9 m 
Puig de les Torres; Alt Penedès; Serralada Prelitoral748 m
Molacima; Montsià; Serra del Montsià, Serralada Litoral; 748 m 
Turó de les Clivelleres; Alt Penedès; Capçalera del Foix, Serralada prelitoral; 744 m 
Puig de Sant Miquel; Anoia; Serra de Rubió; 733,0 m 
Molló Puntaire; Baix Camp; los Dedalts, Serralada Litoral728 m
Tossal de l'Alzina; Baix Camp; Serra de la Mar, Serralada Litoral728 m
Puig d'en Cama; Baix Camp; Muntanyes de Prades; 716,6 m 
Mola de Genessies; Baix Camp, Ribera d'Ebre; Muntanyes de Tivissa-Vandellòs; 711,2 m 
Turó de Maçana; Anoia; Serra de Rubió; 703,5 m 
Punta del Pollo; Baix Ebre; Serralada Prelitoral; 693,9 m 
Puig Cornador; Osona;  ; 682,7 m 
Puig de la Creu; Vallès Occidental; Castellar del Vallès, Sentmenat, Serralada Prelitoral; 668,3 m 
Montau; Alt Penedès, Baix Llobregat; Massís del Garraf, Serralada Litoral; 657,1 m 
La Foradada; Montsià; Serra del Montsià, Serralada Litoral; 655 m 
Punta del Pouet; Garrigues; Contraforts Serra de la Llena; 654,4 m 
Serrat de Viranes; Bages; Serralada Central; 636 m 
Tossal de Sant Blai; Garrigues; Contraforts Serra de la Llena; 623,3 m 
Puig Cornador; Osona;  ; 621,4 m 
La Carabassa; Terra Alta; Serra de Cavalls; 602,5 m 
Cingles de Sant Roc; Amer, Camós, la Garrotxa, Sant Martí de Llémena, Gironès; Serralada Transversal; 598,1 msnm 
Montalt; Maresme; (; 596 m 
